PSTC_ID,PSTC,CITY
1,50000,Anuradhapura
2,50004,Perimiyankulama
3,50006,Galkadawala
4,50008,Saliyapura
5,50012,Viharapalugama
6,50014,Elayapattuwa
7,50016,Tantirimale
8,50020,Pemaduwa
9,50022,Mahawilachchiya
10,50029,Pandulagama
11,50036,Gnanikulama
12,50042,Sravasthipura
13,50044,Hidogama
14,50046,Nachchaduwa
15,50055,Parasangahawewa
16,50057,Gambirigaswewa
17,50062,Kurundankulama
18,50064,Galkulama
19,50067,Uttimaduwa
20,50068,Sivalakulama
21,50072,Tirappane
22,50080,Maradankadawala
23,50086,Walagambahuwa
24,50088,Labunoruwa
25,50100,Kekirawa
26,50104,Tammennawa
27,50110,Vijithapura
28,50111,Palagala
29,50112,Andiyagala
30,50120,Galkiriyagama
31,50122,Pubbogama
32,50124,Halmillawa Dambulla
33,50126,Maha Elagamuwa
34,50130,Madatugama
35,50132,Kitulhitiyawa
36,50142,Ganewalpola
37,50144,Palugaswewa
38,50150,Habarana
39,50169,Awukana
40,50170,Galnewa
41,50174,Kalankuttiya
42,50176,Hurigaswewa
43,50180,Negampaha
44,50182,Maneruwa
45,50184,Siyambalewa
46,50196,Mahabulankulama
47,50200,Nochchiyagama
48,50206,Pahala Halmillewa
49,50207,Udunuwara Colony
50,50210,Galadivulwewa
51,50212,Ranorawa
52,50214,Dunumadalawa
53,50220,Pahala Maragahawe
54,50222,Horiwila
55,50224,Gemunupura
56,50226,Kalaoya
57,50230,Talawa
58,50232,Karagahawewa
59,50236,Malwanagama
60,50240,Tambuttegama
61,50242,Telhiriyawa
62,50244,Pahalagama
63,50246,Rajanganaya
64,50248,Angamuwa
65,50259,Kiralogama
66,50260,Eppawala
67,50261,Katiyawa
68,50262,lhala Halmillewa
69,50270,Mahailluppallama
70,50280,lpologama
71,50282,Kagama
72,50284,Senapura
73,50288,Kalakarambewa
74,50300,Mihintale
75,50304,lhalagama
76,50306,Mahakanadarawa
77,50308,Maradankalla
78,50320,Kahatagasdigiliya
79,50324,Mulkiriyawa
80,50326,Parakumpura
81,50327,Mahapothana
82,50334,Megodawewa
83,50338,Padikaramaduwa
84,50339,Namalpura
85,50344,Muriyakadawala
86,50349,Morakewa
87,50350,Horawpatana
88,50354,Parangiyawadiya
89,50356,Dematawewa
90,50358,Welimuwapotana
91,50370,Kapugallawa
92,50380,Seeppukulama
93,50382,Upuldeniya
94,50384,Mailagaswewa
95,50386,Rampathwila
96,50390,Galenbindunuwewa
97,50392,Getalawa
98,50393,Dutuwewa
99,50394,Hurulunikawewa
100,50448,Pandukabayapura
101,50450,Rambewa
102,50452,Kendewa
103,50454,Kallanchiya
104,50492,Wahamalgollewa
105,50500,Kebithigollewa
106,50500,Medawachchiya
107,50506,Punewa
108,50511,Kirigalwewa
109,50512,Pihimbiyagolewa
110,50514,Rathmalgahawewa
111,50516,Walahaviddawewa
112,50518,Etaweeragollewa
113,50552,Halmillawetiya
114,50554,Gonahaddenawa
115,50556,Kalawedi Ulpotha
116,50558,Tittagonewa
117,50562,Kahatagollewa
118,50564,Wahalkada
119,50566,Bogahawewa
120,50567,Pulmoddai
121,50570,Padaviya
122,50572,Padavi Maithripura
123,50574,Mahasenpura
124,50582,Padavi Parakramapura
125,50584,Etawatunuwewa
126,50586,Welioya Project
127,50587,Padavi Sripura
128,50588,Padavi Sritissapura
129,32000,Ampara
130,32006,Deegawapiya
131,32008,Digamadulla Weeragoda
132,32010,Hingurana
133,32012,Moragahapallama
134,32014,Damana
135,32016,Madawalalanda
136,32018,Mahanagapura
137,32022,Pannalagama
138,32024,Bakmitiyawa
139,32031,Paragahakele
140,32032,Polwaga Janapadaya
141,32034,Pahalalanda
142,32035,Koknahara
143,32037,Namaloya
144,32038,Devalahinda
145,32039,Wadinagala
146,32046,Dadayamtalawa
147,32048,Siyambalawewa
148,32050,Central Camp
149,32060,Uhana
150,32062,Werunketagoda
151,32064,Gonagolla
152,32066,Galapitagala
153,32068,Rajagalatenna
154,32069,Mangalagama
155,32070,Mahaoya
156,32072,Tempitiya
157,32074,Kekirihena
158,32100,Padiyatalawa
159,32101,Serankada
160,32102,Kolamanthalawa
161,32104,Dorakumbura
162,32120,Nawamedagama
163,32126,Damanewela
164,32150,Dehiattakandiya
165,32155,Siripura
166,32158,Mawanagama
167,32198,Malwatta
168,32200,Samanthurai
169,32250,Karativu
170,32280,Sainthamaruthu
171,32300,Kalmunai
172,32308,Navithanveli
173,32314,Marathamune
174,32316,Periyaneelavanai
175,32340,Nintavur
176,32350,Addalaichenai
177,32354,Palamunai
178,32360,Oluvil
179,32400,Akkaraipattu
180,32405,Kannakipuram
181,32415,Thambiluvil
182,32418,Komari
183,32420,Tirukovil
184,32450,lmkkamam
185,32454,Wanagamuwa
186,32500,Pottuvil
187,32508,Panama
188,32512,Lahugala
189,32514,Hulannuge
190,30000,Batticaloa
191,30016,Kannankudah
192,30018,Navatkadu
193,30022,Pillaiyaradi
194,30024,Thannamunai
195,30100,Kattankudi
196,30150,Araipattai
197,30158,Puthukudiyiruppu
198,30159,Kirankulam
199,30160,Kokkaddichcholai
200,30162,Ampilanthurai
201,30192,Kurukkalmadam
202,30194,Cheddipalayam
203,30196,Thettativu
204,30200,Kaluwanchikudi
205,30204,Vellavely
206,30206,Bakiella
207,30220,Mandur
208,30230,Periyaporativu
209,30234,Thirupalugamam
210,30236,Thikkodai
211,30238,Navagirinagar
212,30249,Koddaikallar
213,30250,Kallar
214,30254,Thuraineelavanai
215,30300,Eravur
216,30350,Chenkaladi
217,30352,Pankudavely
218,30354,Karadiyanaru
219,30358,Periyapullumalai
220,30362,Ayithiyamalai
221,30364,Unnichchai
222,30372,Kaluwankemy
223,30376,Vantharumoolai
224,30392,Murakottanchanai
225,30394,Kiran
226,30400,Valaichenai
227,30410,Kalkudah
228,30420,Oddamavadi
229,30424,Vakaneri
230,30426,Miravodai
231,30428,Punanai
232,30442,Mankemi
233,30444,Panichankemi
234,30450,Vakarai
235,30456,Kathiraveli
236,90000,Badulla
237,90008,Soranatota
238,90012,Timbirigaspitiya
239,90013,Egodawela
240,90014,Taldena
241,90015,Meegahakiula
242,90016,Ketawatta
243,90017,Arawa
244,90019,Baduluoya
245,90020,Kandaketya
246,90022,Maliyadda
247,90026,Rilpola
248,90028,Spring Valley
249,90034,Wineethagama
250,90042,Nelumgama
251,90044,Sirimalgoda
252,90046,Kuttiyagolla
253,90048,Kendagolla
254,90052,Kahataruppa
255,90060,Hali Ela
256,90061,Uva Uduwara
257,90062,Uva Deegalla
258,90063,Jangulla
259,90064,Narangala
260,90065,Galauda
261,90066,Beramada
262,90067,Godunna
263,90068,Landewela
264,90070,Kandegedara
265,90071,Pathanewatta
266,90072,Tennepanguwa
267,90080,Demodara
268,90082,Gawarawela
269,90090,Ella
270,90091,Uva Karandagolla
271,90092,Ballaketuwa
272,90094,Helapupula
273,90100,Bandarawela
274,90102,Kebillawela
275,90104,Dulgolla
276,90106,Liyangahawela
277,90108,Ambadandegama
278,90112,Heeloya
279,90114,Makulella
280,90122,Helahalpe
281,90132,Diganatenna
282,90134,Mirahawatta
283,90138,Pattiyagedara
284,90140,Ettampitiya
285,90150,Diyatalawa
286,90160,Haputale
287,90164,Ratkarawwa
288,90165,Nikapotha
289,90166,Akkarasiyaya
290,90168,Ohiya
291,90170,Boralanda
292,90171,Pitapola
293,90180,Haldummulla
294,90183,Soragune
295,90184,Kiriwanagama
296,90186,Kalupahana
297,90188,Uva Tenna
298,90190,Koslanda
299,90192,Uva Mawelagama
300,90200,Welimada
301,90204,Amunumulla
302,90206,Galedanda
303,90208,Gurutalawa
304,90212,Puhulpola
305,90214,Dikkapitiya
306,90216,Nugatalawa
307,90218,Medawela Udukinda
308,90222,Perawella
309,90224,Hangunnawa
310,90226,Uduhawara
311,90230,Uvaparanagama
312,90300,Ambagasdowa
313,90302,Bowela
314,90310,Lunuwatta
315,90322,Bambarapana
316,90324,Dimbulana
317,90326,Ambagahawatta
318,90328,Maspanna
319,90329,Yalagamuwa
320,90350,Keppetipola
321,90352,Kalubululanda
322,90354,Bogahakumbura
323,90356,Kandepuhulpola
324,90358,Hewanakumbura
325,90362,Boragas
326,90364,Silmiyapura
327,90500,Passara
328,90502,Bibilegama
329,90504,Miriyabedda
330,90506,Kotamuduna
331,90508,Hingurukaduwa
332,90512,Gamewela
333,90518,Medawelagama
334,90522,Pelagahatenna
335,90524,Hopton
336,90530,Lunugala
337,90532,Arawakumbura
338,90534,Pallekiruwa
339,90535,Madulsima
340,90540,Metigahatenna
341,90542,Atakiriya
342,90544,Pitamaruwa
343,90546,Kalugahakandura
344,90580,Namunukula
345,90582,Maussagolla
346,90584,Miyanakandura
347,90700,Mahiyanganaya
348,90702,Uraniya
349,90704,Ridimaliyadda
350,90706,Yalwela
351,90712,Arawatta
352,90714,Dambana
353,90716,Wewatta
354,90718,Sorabora Colony
355,90722,Aluttaramma
356,90724,Hebarawa
357,90726,Divulapelessa
358,90728,Kuruwitenna
359,90730,Mapakadawewa
360,90734,Uva Tissapura
361,90736,Aluketiyawa
362,90738,Keselpotha
363,90750,Girandurukotte
364,90752,Galporuyaya
365,90754,Malgoda
366,90756,Pahalarathkinda
367,96167,Idalgashinna
368,100,Fort
369,200,Slave Island
370,200,Slave lsland
371,300,Colpetty
372,400,Bambalapitiya
373,500,Havelock Town
374,600,Wellawatta
375,600,Kirulapone
376,800,Borella
377,1300,Kotahena
378,1500,Mutwal
379,10100,Sri Jayawardenepu
380,10115,Malabe
381,10116,Talawatugoda
382,10118,Hokandara
383,10120,Battaramulla
384,10150,Athurugiriya
385,10200,Homagama
